Year,Month,Date,Gold,Silver,Platinum,Palladium
1990,7,1990-07-18,359.75,4.827,471.075,116.45
1990,7,1990-07-17,361,4.85,472,116.875
1990,7,1990-07-16,362.875,4.916,476.9,117.575
1990,7,1990-07-13,361.35,4.896,474.8,116.75
1990,7,1990-07-12,352.325,4.826,468.125,116.375
1990,7,1990-07-11,354,4.8125,477.7,116.75
1990,7,1990-07-10,355.775,4.8,480.3,116.5
1990,7,1990-07-09,360.075,4.88,485.875,117.5
1990,7,1990-07-06,360.75,4.88,485.5,118.05
1990,7,1990-07-05,359.275,4.8985,484.675,116.025
1990,7,1990-07-04,361.875,4.935,489.125,117.375
1990,7,1990-07-03,359.7,4.9575,487.05,116.125
1990,7,1990-07-02,357.25,4.9075,487.2,116.775
1990,6,1990-06-29,352.3,4.84,482.7,113.8
1990,6,1990-06-28,351.6,4.825,480.975,113.125
1990,6,1990-06-27,350.475,4.811,478.825,112.75
1990,6,1990-06-26,351.225,4.804,478.375,112.425
1990,6,1990-06-25,352.4,4.8425,480.875,114.125
1990,6,1990-06-22,348.875,4.822,476.775,113.925
1990,6,1990-06-21,349.875,4.8375,478.925,114.225
1990,6,1990-06-20,346.975,4.8225,472.8,113.425
1990,6,1990-06-19,348.55,4.8385,478.2,114.875
1990,6,1990-06-18,349.125,4.835,476.5,114.625
1990,6,1990-06-15,346.975,4.8375,474.8,115.125
1990,6,1990-06-14,346.3,4.91,475.2,114.75
1990,6,1990-06-13,351.75,4.99,482.825,116.775
1990,6,1990-06-12,355.875,5.01,486.95,117.45
1990,6,1990-06-11,354.7,4.995,484.5,117.4
1990,6,1990-06-08,353.55,5.0125,484.8,117.25
1990,6,1990-06-07,353.025,4.986,482.625,117.125
1990,6,1990-06-06,359.65,5.091,491.625,118.95
1990,6,1990-06-05,357.975,5.05,486.2,117.5
1990,6,1990-06-04,357.9,5.05,483.325,118.25
1990,6,1990-06-01,363.275,5.074,490.5,118.625
1990,5,1990-05-31,363.375,5.07,491.375,119.525
1990,5,1990-05-30,366.05,5.13,496.5,120.125
1990,5,1990-05-29,368.025,5.236,500.5,121.5
1990,5,1990-05-25,366.425,5.225,499.125,121
1990,5,1990-05-24,367.075,5.2185,498.25,120.95
1990,5,1990-05-23,363.875,5.095,499.5,120.75
1990,5,1990-05-22,373.75,5.125,497.35,120.6
1990,5,1990-05-21,373.25,5.1335,499.75,122.625
1990,5,1990-05-18,369.8,5.04,490.55,118.625
1990,5,1990-05-17,369.15,5.0275,488.325,118.3
1990,5,1990-05-16,369.725,5.02,485.625,119
1990,5,1990-05-15,367.575,5.032,483.8,118.95
1990,5,1990-05-14,368.65,5.0515,484.5,118.75
1990,5,1990-05-11,368.4,5.049,478.75,118.175
1990,5,1990-05-10,371.375,5.0325,482.75,118.25
1990,5,1990-05-09,370,4.9975,476.25,117.7
1990,5,1990-05-08,371.375,5.0325,482.125,119.425
1990,5,1990-05-04,371.35,5.06,483.85,120.375
1990,5,1990-05-03,369.525,5.01,479.5,118.625
1990,5,1990-05-02,370.05,4.996,476.875,118.6
1990,5,1990-05-01,369.225,4.9525,474.625,118.425
1990,4,1990-04-30,369.65,4.936,470.5,119.625
1990,4,1990-04-27,371.5,4.96,473.6,122.975
1990,4,1990-04-26,371.475,4.96,473.325,123.25
1990,4,1990-04-25,373.125,5.023,475.125,124.075
1990,4,1990-04-24,377.375,5.1,486.05,127.4
1990,4,1990-04-23,375.45,5.08,483.425,127.75
1990,4,1990-04-20,376.4,5.0775,482.375,128.55
1990,4,1990-04-19,376.175,5.091,480.5,128.5
1990,4,1990-04-18,374.725,5.0925,478.25,128.55
1990,4,1990-04-17,373.925,5.055,478.325,128.575
1990,4,1990-04-12,375.375,5.1275,481.25,128.775
1990,4,1990-04-11,374.3,5.085,476.15,128.375
1990,4,1990-04-10,375.25,5.115,477.2,128.25
1990,4,1990-04-09,377.775,5.1435,480.125,128.5
1990,4,1990-04-06,379.025,5.179,480.625,128.625
1990,4,1990-04-05,378.25,5.1475,481.8,128.075
1990,4,1990-04-04,374.25,5.01,476.225,128.175
1990,4,1990-04-03,374.9,5.001,476.525,128.425
1990,4,1990-04-02,368.2,4.9375,470.75,127.825
1991,12,1991-12-30,353.225,3.86,331,79.55
1991,12,1991-12-27,354.7,3.9025,335.325,80.125
1991,12,1991-12-23,359.425,3.89,341.875,79.95
1991,12,1991-12-20,357.275,3.8225,338.5,80.225
1991,12,1991-12-19,358.425,3.854,344.7,82.175
1991,12,1991-12-18,357.7,3.885,347,82.2
1991,12,1991-12-17,357.25,3.854,348.075,81.875
1991,12,1991-12-16,359.85,3.871,357.95,83.6
1991,12,1991-12-13,358.975,3.855,358.95,83.5
1991,12,1991-12-12,362.8,3.9475,366.925,84.5
1991,12,1991-12-11,367.1,4.005,368.05,85.025
1991,12,1991-12-10,369.4,4.0435,370.875,85.5
1991,12,1991-12-09,370.45,4.0685,373.125,85.625
1991,12,1991-12-06,367.825,4.065,370.375,84.675
1991,12,1991-12-05,365.25,4.0475,367.025,83.6
1991,12,1991-12-04,365.475,4.0525,366.25,83.625
1991,12,1991-12-03,364.45,4.065,364,83.2
1991,12,1991-12-02,368.3,4.093,369.5,84.25
1991,11,1991-11-29,366.575,4.065,369.175,84.25
1991,11,1991-11-28,365.75,4.1,370.8,84.975
1991,11,1991-11-27,366.8,4.0975,368.075,83.925
1991,11,1991-11-26,366.625,4.0885,369.1,84.425
1991,11,1991-11-25,368.75,4.1375,371.95,84.825
1991,11,1991-11-22,367.575,4.1325,372.3,85.25
1991,11,1991-11-21,364.025,4.096,371.825,85.25
1991,11,1991-11-20,362.575,4.0775,367.25,85.125
1991,11,1991-11-19,361.425,4.044,364.075,84.65
1991,11,1991-11-18,360.4,4.0515,362.5,84.6
1991,11,1991-11-15,355.4,4.01,358.625,84.25
1991,11,1991-11-14,356,4.0435,359.5,84.5
1991,11,1991-11-13,356.5,4.049,363.825,85.75
1991,11,1991-11-12,354.925,4.035,361.875,86
1991,11,1991-11-11,354.9,4.0375,359.75,85.5
1991,11,1991-11-08,353.125,4.025,358.25,85
1991,11,1991-11-07,354.9,4.07,363.9,86.925
1991,11,1991-11-06,354.45,4.0725,362.125,86.675
1991,11,1991-11-05,356.5,4.105,364.925,87.125
1991,11,1991-11-04,356.5,4.0785,362.25,87
1991,11,1991-11-01,357.625,4.102,362.2,86.125
1991,10,1991-10-31,357.425,4.09,361.75,86.25
1991,10,1991-10-30,359.575,4.1125,362.7,86.2
1991,10,1991-10-29,358,4.0525,357.75,85.25
1991,10,1991-10-28,359,4.0835,361.625,85.575
1991,10,1991-10-25,362,4.1215,363.375,86
1991,10,1991-10-24,360.4,4.0865,362.375,85.625
1991,10,1991-10-23,362.55,4.145,366.175,86.05
1991,10,1991-10-22,362.625,4.1575,367.375,85.625
1991,10,1991-10-21,363.45,4.173,371.125,86.375
1991,10,1991-10-18,359.925,4.12,369.05,85.625
1991,10,1991-10-17,358.025,4.125,367.125,85.375
1991,10,1991-10-16,356.475,4.0525,365.125,85.25
1991,10,1991-10-15,358.075,4.0765,367.325,86.2
1991,10,1991-10-14,359.4,4.0985,369.675,87.7
1991,10,1991-10-11,357.5,4.05,363.4,86.5
1991,10,1991-10-10,359.525,4.1175,366.125,86.6
1991,10,1991-10-09,357.625,4.0825,356.625,83.925
1991,10,1991-10-08,358.05,4.071,355.75,83.375
1991,10,1991-10-07,359.45,4.13,358.525,84.3
1991,10,1991-10-04,356.65,4.1725,359.125,84.25
1991,10,1991-10-03,357,4.1735,356.75,83.925
1991,10,1991-10-02,355.2,4.216,354.625,83
1991,10,1991-10-01,353.475,4.1465,354.125,82.575
1991,9,1991-09-30,352.7,4.135,351.7,82.3
1991,9,1991-09-27,348.425,4.09,348.725,81.625
1991,9,1991-09-26,352.1,4.2215,355.7,83.625
1991,9,1991-09-25,352.575,4.235,356.125,83.45
1991,9,1991-09-24,351.575,4.245,358.525,82.95
1991,9,1991-09-23,349.15,4.1225,354.375,82.125
1991,9,1991-09-20,348.075,4.0725,353.275,82
1991,9,1991-09-19,349.075,4.095,354.5,82.25
1991,9,1991-09-18,348.15,4.094,354.925,82
1991,9,1991-09-17,346.25,4.0775,351.825,81.25
1991,9,1991-09-16,345.15,4.06,348.925,81.875
1991,9,1991-09-13,343.875,3.965,346.525,81.5
1991,9,1991-09-12,345.775,3.9715,345.775,81.75
1991,9,1991-09-11,346.375,3.97,345.2,81.3
1991,9,1991-09-10,351.45,4.0635,349.55,82.125
1991,9,1991-09-09,350.325,4.003,348.875,82.25
1991,9,1991-09-06,347.525,3.871,341.5,81.125
1991,9,1991-09-05,347.35,3.8625,339.5,81.375
1991,9,1991-09-04,348.65,3.928,344.75,81.575
1991,9,1991-09-03,348.25,3.8735,341.875,80.675
1991,9,1991-09-02,347.775,3.831,338.8,81.375
1991,8,1991-08-30,347.2,3.815,335.125,80.875
1991,8,1991-08-29,352.375,3.941,340.125,82.25
1991,8,1991-08-28,354.9,3.95,339.325,81.7
1991,8,1991-08-27,353.95,3.9535,334.5,80.775
1991,8,1991-08-23,354.05,3.88,333.925,80.25
1991,8,1991-08-22,356.35,3.9425,341.75,82
1991,8,1991-08-21,356.25,3.93,345.75,80.5
1991,8,1991-08-20,356.15,4.0025,348.05,81
1991,8,1991-08-19,360.975,4.0475,353,84.375
1991,8,1991-08-16,357.5,3.9615,341.875,78.5
1991,8,1991-08-15,358.175,3.97,341.5,79.8
1991,8,1991-08-14,356.175,3.946,347.125,81.95
1991,8,1991-08-13,357.025,3.9535,351.375,84.575
1991,8,1991-08-12,357.975,3.9915,354.125,84.525
1991,8,1991-08-09,358.025,3.9665,352.5,84.375
1991,8,1991-08-08,357.3,3.9725,353.775,86.25
1991,8,1991-08-07,356.325,3.965,355.125,86.125
1991,8,1991-08-06,357.1,3.9585,355.475,86.125
1991,8,1991-08-05,356.05,3.935,348.75,84.375
1991,8,1991-08-02,359.075,3.9715,353.55,85.8
1991,8,1991-08-01,363.85,4.054,363.25,88
1991,7,1991-07-31,363.225,4.0675,362.625,87.7
1991,7,1991-07-30,361.825,4.0475,358.3,87.375
1991,7,1991-07-29,365.55,4.109,366.125,91.675
1991,7,1991-07-26,364.4,4.1005,363.725,91.95
1991,7,1991-07-25,365,4.1275,368.3,93.625
1991,7,1991-07-24,366.5,4.231,372.25,94.25
1991,7,1991-07-23,367.725,4.325,377.95,95.625
1991,7,1991-07-22,369.925,4.4015,379.05,95.5
1991,7,1991-07-19,370.15,4.395,379.225,95.3
1991,7,1991-07-18,369.675,4.4475,380.875,94.95
1991,7,1991-07-17,369.05,4.4025,380.2,94.875
1991,7,1991-07-16,368.6,4.3725,377.875,94.725
1991,7,1991-07-15,368.45,4.39,377.825,95.125
1991,7,1991-07-12,367.875,4.38,374.8,94.575
1991,7,1991-07-11,368.575,4.42,376.25,94.875
1991,7,1991-07-10,370.55,4.4765,382.775,95.875
1991,7,1991-07-09,369.1,4.4615,382.625,96.075
1991,7,1991-07-08,370.8,4.505,383.4,97
1991,7,1991-07-05,370.075,4.5335,384.575,96.75
1991,7,1991-07-04,369.325,4.495,379.325,96.625
1991,7,1991-07-03,368.5,4.4275,380.625,96.875
1991,7,1991-07-02,366.875,4.424,379.825,97.125
1991,7,1991-07-01,368.775,4.4525,380.675,97.825
1991,6,1991-06-28,367.625,4.4535,376.425,96.8
1991,6,1991-06-27,365.05,4.355,374.65,95.725
1991,6,1991-06-26,366.05,4.4175,374.7,96.95
1991,6,1991-06-25,363.3,4.36,372.9,96.9
1991,6,1991-06-24,363.05,4.341,374.1,98.25
1991,6,1991-06-21,366.825,4.4425,375.425,98.925
1991,6,1991-06-20,367.7,4.4425,372.75,98.8
1991,6,1991-06-19,367.35,4.4315,368.55,97.85
1991,6,1991-06-18,369.125,4.4775,371.125,96.375
1991,6,1991-06-17,367.05,4.3885,369.875,96.05
1991,6,1991-06-14,368.375,4.51,370.875,96
1991,6,1991-06-13,369.05,4.465,375.625,96.375
1991,6,1991-06-12,371.35,4.514,379.875,98.15
1991,6,1991-06-11,372,4.481,381,97.45
1991,6,1991-06-10,369.9,4.571,382.75,97.75
1991,6,1991-06-06,364.125,4.2415,381,96.2
1991,6,1991-06-05,362,4.166,378.375,96.45
1991,6,1991-06-04,362.2,4.1525,378.575,96.375
1991,6,1991-06-03,362.25,4.156,377.225,97.375
1991,5,1991-05-31,360.975,4.1325,377.375,99.25
1991,5,1991-05-30,360.925,4.1175,367.625,98.925
1991,5,1991-05-29,361.125,4.142,392.875,94.125
1991,5,1991-05-28,355.975,4.059,390,93.875
1991,5,1991-05-24,355.65,4.05,390.25,93.7
1991,5,1991-05-23,354.95,4.0375,389.7,93.875
1991,5,1991-05-22,356.75,4.09,392.875,94.75
1991,5,1991-05-21,356.525,4.04,391.425,94.375
1991,5,1991-05-20,354.45,4.005,388.375,94.05
1991,5,1991-05-17,355.025,4.0165,388.675,94.325
1991,5,1991-05-16,357.175,4.1,391.25,95
1991,5,1991-05-15,360.05,4.117,393.45,95.475
1991,5,1991-05-14,357.975,4.0025,390.375,94.8
1991,5,1991-05-13,356.8,4.036,389.525,94.875
1991,5,1991-05-10,356.5,4.0325,389.875,94.7
1991,5,1991-05-09,356.85,4.0625,393.125,94.625
1991,5,1991-05-08,356.65,4.025,393.125,95
1991,5,1991-05-07,356.2,4.025,392.25,95.575
1991,5,1991-05-03,355.975,4.0175,393.875,96.65
1991,5,1991-05-02,354.75,3.9335,391.9,96.85
1991,5,1991-05-01,356.375,3.9725,394.5,100.375
1991,4,1991-04-30,355.6,3.9335,391.25,100.125
1991,4,1991-04-29,351.2,3.8875,386.675,99.25
1991,4,1991-04-26,353.7,3.9,390.625,102.2
1991,4,1991-04-25,353.125,3.874,389.425,99.75
1991,4,1991-04-24,355.85,3.9375,393.1,101.075
1991,4,1991-04-23,356.2,3.945,391.125,100.625
1991,4,1991-04-22,356.325,3.92,390.125,96.625
1991,4,1991-04-19,356.625,3.9525,394.5,96.65
1991,4,1991-04-18,360.175,4.121,404.375,99.575
1991,4,1991-04-17,360.825,4.07,400.625,96.5
1991,4,1991-04-16,360.75,4.024,398.625,95.525
1991,4,1991-04-15,360.35,3.9775,400.375,96.5
1991,4,1991-04-12,361.7,4.0175,403.325,97.05
1991,4,1991-04-11,361.25,3.9865,401.25,95.3
1991,4,1991-04-10,363.5,4.0235,405.5,94.5
1991,4,1991-04-09,362.6,4,403.875,93.875
1991,4,1991-04-08,359.9,3.96,402.25,92.375
1991,4,1991-04-05,358.4,4.0375,403.875,93.05
1991,4,1991-04-04,358.25,4.0575,400.1,93.25
1991,4,1991-04-03,358.525,4.065,399.875,93.6
1991,4,1991-04-02,357.7,3.935,394.25,91.125
1991,3,1991-03-28,354.825,3.836,392,89.625
1991,3,1991-03-27,355.575,3.899,387.625,85.225
1991,3,1991-03-26,357.3,3.9175,390.5,84.625
1991,3,1991-03-25,360.5,3.9525,395.175,85.375
1991,3,1991-03-22,362.85,4.008,397.65,87.8
1991,3,1991-03-21,362.225,3.9755,394.375,87.125
1991,3,1991-03-20,364.35,4.0375,402.225,87.675
1991,3,1991-03-19,363.25,3.944,397.725,85.425
1991,3,1991-03-18,362.85,4.0525,400.5,85.25
1991,3,1991-03-15,364.8,4.0325,402.125,86.3
1991,3,1991-03-14,365.15,4.03,405.3,86.825
1991,3,1991-03-13,365.6,4.059,408.25,86.175
1991,3,1991-03-12,364.1,3.979,404.375,85.75
1991,3,1991-03-11,367.55,4.17,415.8,88.875
1991,3,1991-03-08,368,4.001,407.375,87
1991,3,1991-03-07,366.375,3.9075,401.275,84.05
1991,3,1991-03-06,364.9,3.831,398.75,83.05
1991,3,1991-03-05,364.4,3.82,397.5,83.575
1991,3,1991-03-04,365.475,3.755,405.55,86
1991,3,1991-03-01,367.175,3.755,403.8,86.35
1991,2,1991-02-28,362.85,3.6785,400.5,84.425
1991,2,1991-02-27,360,3.614,394.2,83.125
1991,2,1991-02-26,359.175,3.6265,386.25,81
1991,2,1991-02-25,357.575,3.5475,381.05,79.25
1991,2,1991-02-22,358.85,3.62,379.75,79.8
1991,2,1991-02-21,361.875,3.663,382.075,80.85
1991,2,1991-02-20,364.2,3.699,387.575,84.75
1991,2,1991-02-19,362.3,3.74,389.125,85.75
1991,2,1991-02-18,364.175,3.776,388.425,86
1991,2,1991-02-15,365.875,3.8185,388.325,86.5
1991,2,1991-02-14,367.5,3.769,387.725,87.25
1991,2,1991-02-13,366.9,3.72,384.5,86.625
1991,2,1991-02-12,363.225,3.66,380.375,86.375
1991,2,1991-02-11,367.425,3.8155,384.375,88.075
1991,2,1991-02-08,369.15,3.8325,385.3,85.75
1991,2,1991-02-07,363.7,3.8,382.875,83.625
1991,2,1991-02-06,360.825,3.81,380.2,83.35
1991,2,1991-02-05,366.875,3.822,383.225,83.5
1991,2,1991-02-04,367.075,3.8625,391.625,85.55
1991,2,1991-02-01,366.225,3.8785,394.125,85.25
1991,1,1991-01-31,367.8,3.826,392.25,83.425
1991,1,1991-01-30,368.425,3.809,387.25,82.125
1991,1,1991-01-29,377.2,3.8575,393.125,87.375
1991,1,1991-01-28,374.5,3.806,386.8,87.125
1991,1,1991-01-25,374.025,3.835,392.5,87.925
1991,1,1991-01-24,375.025,3.8725,391.375,86.5
1991,1,1991-01-23,378.1,3.9775,402,88.025
1991,1,1991-01-22,381.125,4.0285,407,90.125
1991,1,1991-01-21,378.225,4.0375,413,91
1991,1,1991-01-18,379.125,4.041,412.625,91
1991,1,1991-01-17,381.25,4.0975,414.25,89.25
1991,1,1991-01-16,403.35,4.224,422.75,90.125
1991,1,1991-01-15,398.25,4.205,420.425,89.625
1991,1,1991-01-14,396.975,4.195,424.025,91.875
1991,1,1991-01-11,390.5,4.151,420.75,87.875
1991,1,1991-01-10,389.525,4.1385,413.875,86.825
1991,1,1991-01-09,388.9,4.085,413.375,86.375
1991,1,1991-01-08,391.25,4.25,415.375,86.125
1991,1,1991-01-07,391.05,4.2025,416.125,84.175
1991,1,1991-01-04,387.75,4.21,415.75,83.625
1991,1,1991-01-03,386.525,4.0965,412,82.125
1991,1,1991-01-02,391.65,4.1635,413.375,81.625
1992,12,1992-12-30,332.6,3.663,355.65,106.25
1992,12,1992-12-29,332.7,3.675,358.925,106.375
1992,12,1992-12-23,332.775,3.6975,359.55,106.25
1992,12,1992-12-22,333.475,3.7335,358.625,107.375
1992,12,1992-12-21,335.125,3.75,357.875,107.2
1992,12,1992-12-18,337.075,3.775,363.625,111.2
1992,12,1992-12-17,338.2,3.75,365.5,111.25
1992,12,1992-12-16,336.1,3.714,363.25,109.675
1992,12,1992-12-15,334.8,3.7165,363.45,111.775
1992,12,1992-12-14,335.25,3.7275,364.925,113.5
1992,12,1992-12-11,334.65,3.724,363.75,110.25
1992,12,1992-12-10,333.8,3.705,362.375,106.825
1992,12,1992-12-09,333.45,3.714,363.45,106.875
1992,12,1992-12-08,335.25,3.7585,368.975,109.625
1992,12,1992-12-07,335.05,3.7585,365.3,105.375
1992,12,1992-12-04,335.75,3.7625,364,102.375
1992,12,1992-12-03,335.575,3.759,363.625,101.375
1992,12,1992-12-02,335.375,3.7575,362.625,97.25
1992,12,1992-12-01,334.625,3.76,362.7,95.875
1992,11,1992-11-30,333.95,3.7325,358.9,94.825
1992,11,1992-11-27,334.025,3.75,356.5,94.075
1992,11,1992-11-26,334.675,3.7625,356.375,94.2
1992,11,1992-11-25,334.55,3.76,356,93.75
1992,11,1992-11-24,334.125,3.7575,356.725,94.675
1992,11,1992-11-23,334.15,3.752,358.575,94.975
1992,11,1992-11-20,335.825,3.7725,355.875,94.85
1992,11,1992-11-19,333.925,3.749,354.075,95.1
1992,11,1992-11-18,335.25,3.7675,353.25,94.875
1992,11,1992-11-17,334.075,3.7565,352.8,94.75
1992,11,1992-11-16,335.7,3.762,353.4,94.575
1992,11,1992-11-13,334.325,3.7985,353.4,94.175
1992,11,1992-11-12,333.15,3.6875,351.125,93.75
1992,11,1992-11-11,331.55,3.6875,348.95,92.75
1992,11,1992-11-10,330.275,3.713,352.675,92.75
1992,11,1992-11-09,334.75,3.8585,362,95.175
1992,11,1992-11-06,336.9,3.9075,364.375,95.925
1992,11,1992-11-05,337.75,3.8725,361.25,96
1992,11,1992-11-04,337.35,3.795,356.125,94.625
1992,11,1992-11-03,338.675,3.793,356.75,94.45
1992,11,1992-11-02,339.4,3.7565,355,94.125
1992,10,1992-10-30,339.025,3.764,353.825,93.875
1992,10,1992-10-29,339.5,3.7665,353.675,93.5
1992,10,1992-10-28,338.2,3.765,355.95,93.7
1992,10,1992-10-27,338.675,3.75,355.075,93.75
1992,10,1992-10-26,341.375,3.7525,355.75,94.2
1992,10,1992-10-23,343.05,3.799,357.475,94.4
1992,10,1992-10-22,342.725,3.8,357.425,93.9
1992,10,1992-10-21,343.625,3.8135,357.75,94.3
1992,10,1992-10-20,343.025,3.74,359.875,94.575
1992,10,1992-10-19,342.425,3.7225,358.275,94.95
1992,10,1992-10-16,341.75,3.71,357.3,94.25
1992,10,1992-10-15,341.8,3.725,356.15,93.675
1992,10,1992-10-14,343.525,3.705,355.125,93.025
1992,10,1992-10-13,343.6,3.7175,355.8,95.375
1992,10,1992-10-12,347.3,3.744,357.1,96
1992,10,1992-10-09,349.95,3.7455,355.725,94.675
1992,10,1992-10-08,350.25,3.7335,357.275,95.775
