Year,Month,Date,Gold_pct,Silver_pct,Platinum_pct,Palladium_pct,Inflation,Interest Rates %,GDP Growth %
2019,3,3/1/2019,-1.39,-3.07,3.06,6.37,1.8,0.75,1.4
2019,4,4/1/2019,-1.12,-1.82,5.23,-9.41,1.8,0.75,1.5
2019,5,5/1/2019,-0.27,-2.77,-6.02,-4.16,2,0.75,1.5
2019,6,6/1/2019,5.86,2.53,-3,8.3,1.9,0.75,1.5
2019,7,7/1/2019,4.05,5,4.47,7.11,1.9,0.75,1.9
2019,8,8/1/2019,5.85,8.45,1.29,-6.03,2,0.75,1.9
2019,9,9/1/2019,0.96,6.41,10.39,10.33,1.7,0.75,1.9
2019,10,10/1/2019,-1.06,-3,-5.04,7.82,1.7,0.75,1.8
2019,11,11/1/2019,-1.59,-2.53,0.58,2.46,1.5,0.75,1.8
2019,12,12/1/2019,0.53,-0.52,2.28,7.68,1.5,0.75,1.8
2020,1,1/1/2020,5.54,5.12,7.09,17.81,1.4,0.75,-1.7
2020,2,2/1/2020,2.39,-0.24,-2.52,12.7,1.8,0.75,-1.7
2020,3,3/1/2020,-0.32,-16.76,-20.85,-16.12,1.7,0.25,-1.7
2020,4,4/1/2020,5.47,0.67,-0.92,-0.84,1.5,0.1,-21.9
2020,5,5/1/2020,2.15,8.08,5.17,-9.49,0.9,0.1,-21.9
2020,6,6/1/2020,1,9.16,3.42,1.01,0.7,0.1,-21.9
2020,7,7/1/2020,6.29,15.15,4.93,5.94,0.8,0.1,-9.5
2020,8,8/1/2020,6.94,31.79,9.21,6.47,1.1,0.1,-9.5
2020,9,9/1/2020,-2.39,-3.74,-3.48,5.82,0.5,0.1,-9.5
2020,10,10/1/2020,-1.12,-6.34,-3.45,2.32,0.7,0.1,-8.3
2020,11,11/1/2020,-1.84,-0.84,4.19,0.18,0.9,0.1,-8.3
2020,12,12/1/2020,-0.56,3.51,12.39,-0.41,0.6,0.1,-8.3
2021,1,1/1/2021,0.66,4.06,6.14,1.46,0.8,0.1,-6.7
2021,2,2/1/2021,-3.06,5.62,10.69,-1.27,0.9,0.1,-6.7
2021,3,3/1/2021,-5.04,-6.35,-2.16,5.38,0.7,0.1,-6.7
2021,4,4/1/2021,2.35,0.1,2.34,12.25,1,0.1,25.7
2021,5,5/1/2021,5.12,7.11,0.63,3.65,1.6,0.1,25.7
2021,6,6/1/2021,-0.81,-1.75,-7.51,-5.41,2.1,0.1,25.7
2021,7,7/1/2021,-1.57,-4.55,-3.26,0.39,2.4,0.1,9.5
2021,8,8/1/2021,-1.24,-6.75,-7.29,-6.99,2.1,0.1,9.5
2021,9,9/1/2021,-0.28,-2.95,-3.28,-16.55,3,0.1,9.5
2021,10,10/1/2021,-0.19,-0.05,4.26,-4.9,2.9,0.1,9.7
2021,11,11/1/2021,2.51,3.86,1.81,-0.58,3.8,0.1,9.7
2021,12,12/1/2021,-1.74,-7.14,-7.35,-10.05,4.6,0.25,9.7
2022,1,1/1/2022,1.57,2.94,3.73,12.4,4.8,0.25,11.4
2022,2,2/1/2022,2.23,1.45,5.45,15.8,4.9,0.5,11.4
2022,3,3/1/2022,4.88,7.57,-0.47,10.63,5.5,0.75,11.4
2022,4,4/1/2022,-0.68,-2.77,-7.72,-10.6,6.2,0.75,3.9
2022,5,5/1/2022,-4.37,-10.75,-0.48,-11.5,7.8,1,3.9
2022,6,6/1/2022,-0.83,-1.89,-0.87,-7.24,7.9,1.25,3.9
2022,7,7/1/2022,-5.29,-11.23,-8.43,3.49,8.2,1.25,2.1
2022,8,8/1/2022,1.61,3.53,4.6,8.23,8.8,1.75,2.1
2022,9,9/1/2022,-4.61,-4.63,-3.59,-1.02,8.6,2.25,-0.59
2022,10,10/1/2022,-1.14,2.8,3.99,-1.43,8.8,2.25,0.68
2022,11,11/1/2022,3.66,8.45,8.29,-8.08,9.6,3,0.06
2022,12,12/1/2022,-1.17,10.68,-2.91,-9.36,9.3,3.5,-0.31
2023,1,1/1/2023,11.29,2.18,9.8,-0.03,9.2,3.5,0.52
2023,2,2/1/2023,-2.2,-7.32,-9.15,-10.98,8.8,4,0.15
2023,3,3/1/2023,2.93,-0.42,-3.05,-11.77,9.2,4.25,-0.31
2023,4,4/1/2023,4.66,14.05,10.24,7.98,8.9,4.25,0.23
2023,5,5/1/2023,-2.93,-3.21,3.61,0.79,7.8,4.5,-0.22
2023,6,6/1/2023,0.12,-3.25,-8.27,-9.05,7.9,5,0.73
2023,7,7/1/2023,0.31,2.7,-2.6,-6.15,7.3,5,-0.58
2023,8,8/1/2023,-1.47,-2.51,-2.47,-1.34,6.4,5.25,0.12
2023,9,9/1/2023,-0.15,-0.85,-0.19,-0.87,6.3,5.25,0.19
2023,10,10/1/2023,-4.66,-8.43,-4.83,-5.12,6.3,5.25,0.3
