Year,Month,Interest Rate %,
2017,8,0.25,
2017,9,0.25,
2017,10,0.25,
2017,11,0.5,
2017,12,0.5,
2018,1,0.5,
2018,2,0.5,
2018,3,0.5,
2018,4,0.5,
2018,5,0.5,
2018,6,0.5,
2018,7,0.5,
2018,8,0.75,
2018,9,0.75,
2018,10,0.75,
2018,11,0.75,
2018,12,0.75,
2019,1,0.75,
2019,2,0.75,
2019,3,0.75,
2019,4,0.75,
2019,5,0.75,
2019,6,0.75,
2019,7,0.75,
2019,8,0.75,
2019,9,0.75,
2019,10,0.75,
2019,11,0.75,
2019,12,0.75,
2020,1,0.75,
2020,2,0.75,
2020,3,0.25,
2020,4,0.1,
2020,5,0.1,
2020,6,0.1,
2020,7,0.1,
2020,8,0.1,
2020,9,0.1,
2020,10,0.1,
2020,11,0.1,
2020,12,0.1,
2021,1,0.1,
2021,2,0.1,
2021,3,0.1,
2021,4,0.1,
2021,5,0.1,
2021,6,0.1,
2021,7,0.1,
2021,8,0.1,
2021,9,0.1,
2021,10,0.1,
2021,11,0.1,
2021,12,0.25,
2022,1,0.25,
2022,2,0.5,
2022,3,0.75,
2022,4,0.75,
2022,5,1,
2022,6,1.25,
2022,7,1.25,
2022,8,1.75,
2022,9,2.25,
2022,10,2.25,
2022,11,3,
2022,12,3.5,
2023,1,3.5,
2023,2,4,
2023,3,4.25,
2023,4,4.25,
2023,5,4.5,
2023,6,5,
2023,7,5,
2023,8,5.25,
2023,9,5.25,
2023,10,5.25,
